"id","grade","grade_suffix","coating","finish","surface_type","surface_protection","form","thickness_min","thickness_max","width_min","width_max","length_min","height_min","height_max","weight_min","weight_max","inner_diameter_min","inner_diameter_max","outer_diameter_min","outer_diameter_max","yield_strength_min","yield_strength_max","tensile_strength_min","tensile_strength_max"
"8aff426d-b8c0-43aa-ad26-835ef4de6129","S700MC","","","Oiled","","","Coils","6","6","600","1520","","","","15000","25000","610","610","","","","","760","810"
"37e624be-b125-464f-85b6-1838530193ef","S250GD","","ZM310","Hot-dip zinc magnesium (+ZM)","","","Slit Coils","1.5","1.5","327","327","","","","","","","","","","","","",""
"b8257184-6307-46ab-b06e-d979336d1263","DX51D","","Z100","Hot-dip Galvanized (+Z/+GI)","","Lightly Oiled (L)","Coils","0.4","0.4","1000","1500","","","","","","","","","","","","",""
"63140d1f-dda8-40fe-8931-bcaba65d5772","S235","","","","","","Round Tubes","1.5","1.5","","","4900","4900","","53800","53800","","","60.3","","","","",""
"11cffc57-44be-4d79-bfd5-97482be566d3","S235","","","","","","Round Tubes","1.5","1.5","","","6100","6100","","14500","14500","","","48.3","","","","",""
"75fae2b7-8107-4ce2-a9d5-1189b4cd3b21","S235","","","","","","Round Tubes","1.5","1.5","","","6200","6200","","34000","34000","","","20","","","","",""
"973d80a1-f1b8-461b-bb25-7d8852968b1c","DX51D","","Z075","Hot-dip Galvanized (+Z/+GI)","","","Rectangular Tubes","2","2","60","60","9000","9000","80","","","","","","","","","",""
"8fe87807-dae8-4341-94fd-2ab91f176464","DX51D","","Z080","Hot-dip Galvanized (+Z/+GI)","","","Rectangular Tubes","2","2","60","60","9000","9000","80","","","","","","","","","",""
"c18a7f01-1cb6-4987-a2cc-93251d3719b9","DX51D","","","","","","Round Tubes","2.5","2.5","","","3300","3300","","","","","","25","","","","",""
"0777b4fd-292a-439b-848f-d772ee28c3b8","DX51D","","","","","","Equal Angles","1.5","1.5","35","35","8000","8000","","","","","","","","","","",""
